X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
68,164,165,0.000844020073500013,646612.953308837,737731.681438062,646607.833518725,737697.695300604,0.032812368152,0.0319683480785,2020.17947532414,2020.18031934422,73200000,NA,Liège,Liège,4030,4030
69,165,109,8.52459005198924e-06,646607.833518725,737697.695300604,646603.856600014,737700.058414703,0.032820892742052,0.032812368152,2020.18031934422,2020.18032786881,73200000,hCoV-19/Belgium/ULG-3683/2020|EPI_ISL_417011|2020-03-07|Europe,Liège,Liège,4030,4030
70,165,108,8.52459005198924e-06,646607.833518725,737697.695300604,655932.466000544,737308.37033504,0.032820892742052,0.032812368152,2020.18031934422,2020.18032786881,73200000,hCoV-19/Belgium/ULG-3665/2020|EPI_ISL_417009|2020-03-07|Europe,Liège,Liège,4030,4680
72,205,201,0.002256994535,632866.980495748,742503.413664708,631525.785674833,738680.024953202,0.038496994535,0.03624,2020.61522934424,2020.61748633878,73200000,hCoV-19/Belgium/ULG-10424/2020|EPI_ISL_581583|2020-08-14|Europe,Liège,Liège,4140,4140
74,251,252,0.0007598898608,635256.004198053,726817.59525944,635370.89577648,726608.098928978,0.0007598898608,0,2020.15731945442,2020.15807934428,73200000,NA,Liège,Liège,4550,4120
75,252,253,0.10967,635370.89577648,726608.098928978,637349.508278982,728303.089522073,0.1104298898608,0.0007598898608,2020.15807934428,2020.26774934428,73200000,NA,Liège,Liège,4120,4121
76,252,254,0.00696751472599999,635370.89577648,726608.098928978,635369.386302049,726623.30026371,0.00772740458679999,0.0007598898608,2020.15807934428,2020.16504685901,73200000,NA,Liège,Liège,4120,4120
77,253,213,1.02185792300036e-05,637349.508278982,728303.089522073,644941.349307189,756717.790564102,0.11044010844003,0.1104298898608,2020.26774934428,2020.26775956286,73200000,hCoV-19/Belgium/ULG-10139/2020|EPI_ISL_427384|2020-04-08|Europe,Liège,Liège,4121,4821
78,253,214,1.02185792300036e-05,637349.508278982,728303.089522073,637348.056987467,728311.149762409,0.11044010844003,0.1104298898608,2020.26774934428,2020.26775956286,73200000,hCoV-19/Belgium/ULG-10138/2020|EPI_ISL_427383|2020-04-08,Liège,Liège,4121,4121
81,255,215,0.00964404371600003,635365.450662674,726616.068029623,635256.281486591,726669.860481976,0.0175439335768,0.00789988986079998,2020.16521934428,2020.174863388,73200000,hCoV-19/Belgium/ULG-3162/2020|EPI_ISL_417005|2020-03-05,Liège,Liège,4120,4120
82,255,216,0.09980797814,635365.450662674,726616.068029623,626328.309441684,749289.500315144,0.1077078680008,0.00789988986079998,2020.16521934428,2020.26502732242,73200000,hCoV-19/Belgium/ULG-10121/2020|EPI_ISL_427369|2020-04-07|Europe,Liège,Liège,4120,4920
83,256,262,0.00583,635365.450662674,726616.068029623,653642.564260074,709021.587485297,0.0137298898608,0.00789988986079998,2020.16521934428,2020.17104934428,73200000,NA,Liège,Liège,4120,4257
84,259,218,0.03328229508,651948.010918391,762530.029745951,643960.718802686,732651.580478291,0.0885821849368,0.0552998898568,2020.21261934428,2020.24590163936,73200000,hCoV-19/Belgium/ULG-10041/2020|EPI_ISL_427347|2020-03-31|Europe,Liège,Liège,4840,4102
85,259,260,0.03327,651948.010918391,762530.029745951,651956.774161316,762675.903666699,0.0885698898568,0.0552998898568,2020.21261934428,2020.24588934428,73200000,NA,Liège,Liège,4840,4840
86,260,220,1.22950819900214e-05,651956.774161316,762675.903666699,651956.927472715,762674.848939911,0.08858218493879,0.0885698898568,2020.24588934428,2020.24590163936,73200000,hCoV-19/Belgium/ULG-10004/2020|EPI_ISL_421184|2020-03-31|Europe,Liège,Liège,4840,4840
